candidate_name,vacancy_title,vacancy_url,vacancy_date_or_status,employer_as_listed,owner_first_signal,legal_match_status,finance_status,owner_director_status,hh_channel_status,personal_contacts_status,corporate_contacts_status,verification_status,notes
Infinique,Директор по маркетингу,https://hh.ru/vacancy/129245847,"опубликована ранее; требуется перепроверка актуальности",Infinique,"новая руководящая позиция, построение маркетинга с нуля",needs_legal_match,not_checked,not_checked,hh_employer_page_present,not_checked,not_checked,in_review,"Не засчитывать до точного совпадения бренда и юрлица"
Рынок Онлайн,Директор по маркетингу (CMO),https://hh.ru/vacancy/129383841,2026-01-13,Рынок Онлайн,"прямая коммуникация с фаундером",needs_legal_match,not_checked,founder_named_in_text_not_identified,hh_employer_page_present,not_checked,not_checked,in_review,"Сильный owner-first сигнал; требуется установить фаундера и юрлицо"
Aktiv Development,Директор по маркетингу,https://hh.ru/vacancy/128970377,"архив с 2026-01-22",Aktiv Development,"руководящая вакансия в девелопменте",needs_legal_match,not_checked,not_checked,hh_employer_page_present,not_checked,not_checked,in_review,"Недавняя архивная вакансия допустима только после полной проверки"
Первый проектный офис,Директор по маркетингу и проектному управлению,https://hh.ru/vacancy/129143906,"опубликована ранее; требуется перепроверка актуальности",ООО Первый проектный офис,"ответственность за маржинальную прибыль и систему управления",needs_legal_match,not_checked,not_checked,hh_employer_page_present,not_checked,not_checked,in_review,"Нужно подтвердить ОГРН/ИНН и конечного собственника"
ЭФИР,Директор по маркетингу (Event-индустрия / Концерты),https://hh.ru/vacancy/128987062,"опубликована ранее; требуется перепроверка актуальности",ООО ЭФИР,"руководящая роль с влиянием на продажи",needs_legal_match,not_checked,not_checked,hh_employer_page_present,not_checked,not_checked,in_review,"Название неоднозначно; высокий риск неверного юрлица"
Столичная Недвижимость,Директор по маркетингу,https://hh.ru/vacancy/130194278,"опубликована ранее; требуется перепроверка актуальности",ООО Столичная Недвижимость,"директорская маркетинговая вакансия, сеть офисов",needs_legal_match,not_checked,not_checked,hh_employer_page_present,not_checked,not_checked,in_review,"Проверить связь с Century 21 и точное юридическое лицо работодателя"
ИП Зуев Евгений Владимирович,Директор по маркетингу / Head of Marketing,https://hh.ru/vacancy/127930668,"архив с 2025-12-20",ИП Зуев Евгений Владимирович,"работодатель на конкретного ИП",identity_exact_by_employer_name,not_checked,owner_equals_employer,hh_employer_page_present,not_checked,not_checked,in_review,"Требуются ИНН/ОГРНИП, бизнес-бренд, выручка и контакты"
ИП Петров Максим Витальевич,Growth Marketing Director / Директор по развитию маркетинга,https://hh.ru/vacancies/direktor_po_marketingu_i_razvitiyu,"актуальность требует открытия карточки",ИП Петров Максим Витальевич,"конкретный ИП, высокая управленческая роль",identity_exact_by_employer_name,not_checked,owner_equals_employer,hh_search_result_present,not_checked,not_checked,in_review,"Не засчитывать без прямой ссылки на вакансию и проверки бизнеса"
ИП Михайлов Андрей Павлович,CMO / Chief Marketing Officer / Head of Performance & Growth,https://hh.ru/vacancies/marketing_director,"актуальность требует открытия карточки",ИП Михайлов Андрей Павлович,"конкретный ИП и C-level вакансия",identity_exact_by_employer_name,not_checked,owner_equals_employer,hh_search_result_present,not_checked,not_checked,in_review,"Не засчитывать без прямой ссылки на вакансию и полного юр/финансового профиля"
ИП Петченко Мария Алексеевна,Директор по маркетингу,https://hh.ru/vacancies/marketing_director,"актуальность требует открытия карточки",ИП Петченко Мария Алексеевна,"конкретный ИП и руководящая вакансия",identity_exact_by_employer_name,not_checked,owner_equals_employer,hh_search_result_present,not_checked,not_checked,in_review,"Не засчитывать без прямой ссылки на вакансию и подтвержденного бизнеса"
VELLE,Коммерческий директор,https://hh.ru/vacancy/129461522,2026-01-15,VELLE,"основатель Сергей Выходцев назван на официальном сайте; вакансия CCO",needs_legal_match,not_checked,founder_confirmed,hh_vacancy_present,public_named_staff_contacts_found,phone_found,in_review,"Требуется точное действующее юрлицо бренда, финансы, директор и прямой контакт ЛПР"
ГофроМир,Коммерческий директор,https://hh.ru/vacancy/129715564,2026-01-21,ООО ГофроМир,"вакансия прямо у производителя; собственники упомянуты как сторона поддержки",exact_legal_match,not_checked,not_checked,hh_vacancy_present,not_checked,"phone_and_email_found",in_review,"Подтверждены ООО ГОФРОМИР, ИНН 7743692795, ОГРН 1087746658174 и официальный сайт; нужны финансы, собственник/директор и личный контакт"
АСТРА-77,Коммерческий директор,https://hh.ru/vacancy/129891914,2026-01-26,АСТРА-77,"вакансия связана с масштабированием бизнеса",brand_legal_name_match_on_site,not_checked,not_checked,hh_vacancy_present,telegram_corporate_only,"phone_email_telegram_found",in_review,"Официальный сайт подтверждает ООО АСТРА-77 и контакты; нужны ИНН/ОГРН, финансы, собственник/директор и личный контакт"
Мебелком,Коммерческий директор,https://hh.ru/vacancy/128712877,2026-01-11,ООО Мебелком,"вакансия с прямой отчетностью собственникам",needs_legal_match,not_checked,owner_mentioned_not_named,hh_vacancy_present,not_checked,not_checked,in_review,"Требуются официальный сайт, точное юрлицо, финансы, собственник/директор и контакты"
